User,Comment,Time,Likes
@tylerimondi4378, @augustus331  oko,3 years ago,
@erlindadelacruz5889,Please,3 years ago,
@beefycerberus7535,Because of the new youtube update dont make it blue......make it white.,3 years ago,
@breaoertel5447,"I went to go make it blue but it already was because I liked this about to year ago when I watched this video for the first time, lol",3 years ago,
@Laviolette101,No one: Elon to a snail: OUR BATTLE WILL BE LEGENDARY,3 years ago,
@Raj-wf6ln," CanadaCommunity Org  I disagree. with this fellow in the video. He's superimposing assumption of the Mars face as a sign of past civilizations and of  nuclear explosions as caused by nuclear weapons. Earth also has radioactive meteor impact sites. The man who gave this speech worked on the NASA team studying Mars via university. He published a paper about it citing the nuclear explosions as weapons. That he did it for the defense department is quite questionable. They may have examined the evidence after he published his papers. Often comets and asteroids explode and spew toxins, radioactive materials and all have signatures. He has credentials but based an opinion on measurable facts. These facts do not support his source assumption. radioactive materials come from many sources. We have sites in the Mideast and Africa that have similar ""atomic blasts"" caused by meteors.- Here's an example, there is a a layer of ash sediment that contained iridium from meteoric impacts triggering volcanos.. Another layer of ash deposited 13000 years ago contained platinum caused by a meteor or series of meteors that quite likely became an extinction level event and flooding.. Graham Hancock argued against Clovis First as the principle evolution of society in the Americas. The platinum evidence is now being supported as an extinction level event. So Clovis First might be dropped as a theory because of this but biased research for many decades.In this video he's making a good living on the pseudoscience circuit with bombs on Mars",3 years ago,
@spiralpinata6992,It’s black not blue in 2020,3 years ago,
@assylkhanovkz,"i made the second thing blue , it must be fine right ?",3 years ago,
@mormangold2697,Now white*,3 years ago,1
@MaRk-vi7nk,It's white now,3 years ago,
@jliaan,It's black now,3 years ago,
@marikafragias5211, @briandiehl9257  TEDm talk   the m for mars,3 years ago,
@manojchaturvedi1655,Why cant we have flying cars? Elon: Oh its too noisy,3 years ago,
@michelewilliams3683,Yes I am with you !!!,3 years ago,
@willdeeny9477,"""I want to think about the future, and not be sad"" - Elon MuskI'm gonna frame this",3 years ago,
@josephbennion3273,"""why are you boring?"" My boy Elon: haha anyway.. So I'm building a tunnel",3 years ago,
@bavvireal,agreed.,3 years ago,
@polytrelaras1,2021?,3 years ago,
@Sh-gc8td,Totally agree,2 years ago,
@drrydog,tf this guy uses light mode,2 years ago,1
@joshiasbaja3934,red,2 years ago,
@pgwar22,Done!,2 years ago,1
@prajvalrao4871,Didn't get it in 21 but we got it in 22' !! Go watch,2 years ago,
@Footprints1111,It's white now - what should I do,1 year ago,
@Woodman-Spare-that-tree,I vote sparkles. Pink sparkles. ,1 year ago,
@paulmanish7161,Blue? ,1 year ago,
@Capt.WillyB,Yes fr,1 year ago,
@Rubyeverly-Jessica,️️️there made it blue,1 year ago,1.6K
@Victoriataylor5668,"Excellent video. We are all striving for financial freedom and a better way of life. It is not difficult to achieve this with wise investing, economical lifestyle, and careful budgeting. I'm pleased I learnt early on to work hard for financial independence.",1 year ago,
@anyadni,"In my opinion, venturing into a  good investment is not just a strategy for generating passive income but a profitable saving method for future expenses. Those who fail to make the right decisions early in life end up regretting it. Nevertheless, investing can be difficult and risky doing it solely, For this reason, I advise seeking help from professionals(financial advisors). It’s not just watching videos and reading investment books  the challenge is using it well",1 year ago,
@Brittany-reeds," @Victoriataylor5668  sincerely, I’m truly inspired by your words.  I’m very interested in investing and I have got a good sum of money which I’m ready to put in with the right information. My biggest fear is losing my money on the wrong investment. For this reason, I’m willing to listen to your suggestions and ideas on how to invest wisely.",1 year ago,1
@CJ-wright," @anyadni  As an OAP with a lot of experience, I firmly believe that the success of any investment depends on having the right information, regardless of what others say, do whatever you set your mind to.  Warren Buffer always says ""be greedy when others are fearful and be fearful when others are greedy"".  This is certainly the trick to succeeding even when others fail. I made $100,000 working with ALICE ELAINE HAYHURST a licensed financial adviser. It’s been a promising experience so far with her.",1 year ago,
@deeprajtrpathi," @Brittany-reeds  Thank you, Going through her profile on her webpage out of curiosity, and surprisingly she seems proficient. I appreciate this.",1 year ago (edited),1
@Rubyeverly-Jessica,This video and its messaging is an extremely valuable signal for people to dream about a brighter future for everyone as a whole and not just themselves. Kindly don''t use a platform like this to to lure people into partaking in whatever personal benefits you desire.,1 year ago,1
@ddvantandar-kw7kl, @deeprajtrpathi  read this again and think of how dump you might sound....if you can learn from it you move on and let the useful once learn what they can no one is forcing you against you will.,9 months ago,10
@ernestamari8298,Project visibility and physibilty is extremely important considering the environment,3 years ago,8K
@omswaroopudumula4284,"Elon Musk is so humble, he's a down to Mars guy",3 years ago,147
@genevievemartinez8475,Underrated comment it will atleat get a 10k likes,3 years ago,88
@gokulkbaburaj2414,Einstein of our generation ,3 years ago,43
@aujlaaujla2454,How many times you copy the same comment,3 years ago,11
@tizamusic6168,,3 years ago,16
@cpan2552, @primordialsoftware9294  which circus you apart of?,3 years ago,3
@cpan2552, @primordialsoftware9294  get a chevy!,3 years ago (edited),6
@yourfellowhumanbeing2323," ShadowboyTV  He was complaining about not getting a cheap Tesla. Told him to get a Chevy. Some people will complain about anything. He could say thanks to Elon, we all can have electric vehicle is a decade or too for really low prices- as low as gas poered cars. I guess maybe my response was misunderstood.",3 years ago,1
@Mr.Raven_Poe, @cpan2552  Noice,3 years ago,3
@simarpreetsingh6604,That's was clever,3 years ago,2
@user-ho1vt8vz2l,hahahahha loll,3 years ago,3
@dantrixter,wow so original comment,3 years ago,1
@abdelbassetbouteldja9407,Nice one,3 years ago,
@przemekflak7961, @omswaroopudumula4284  aaa,3 years ago,3
@shxnya_," @primordialsoftware9294  After 3 and a half years, first stage of that rocket made 12km flight, 10 gigafactories exist. 101k Tesla was sold in 2018, 367k in 2019, no data for 2020 yet. IMO quite good artist",3 years ago,
@Uncutwith_Rd,,3 years ago,
@CalJennings,,3 years ago,
@Kunalchan196,Haha! ,3 years ago,1
@johannesmohner8695,,3 years ago,
@DBT154,Is he still on calibans war ?,3 years ago,
@marikabakocs2832,,3 years ago,2
@omkarjoshi3650,Musk is Musk....Tessla is someone else ...Tessla was humble.....He KNEW.....,3 years ago,
@anshad0,yes yes ofc,3 years ago,
@lovememuch5826,haha,3 years ago,1
@SR-pz3ij,Plus,3 years ago,
@lovememuch5826,ohh !!! what a sense of humour !!!!,3 years ago (edited),
@JesusChrististheonlyway777," @SR-pz3ij  i think he's so vicious and serious with his job. When he quit the job, he might act more relaxing and looks so humble. Just he has  keep his manners in public.The way the millionaire has the dark side habits.the workers must have more patients to deal with .",3 years ago,2
@lovememuch5826,He is evil.,3 years ago (edited),
@Zo-hc2fn, @JesusChrististheonlyway777  maybe he's so strictly as big boss.belong to impatient employees.,3 years ago,2
@andrewfazenbaker8210,"I am thinking about a new type of restaurants : eating-spots,in eating-spots, food keeps changing, chefs also rotate,this is opposed to current restaurants,thanks to this rotation of food and chefs, eating-spots are more powerful than restaurants,along with that, there is an app,people vote for the food that will be cooked in the next daysmenu is influenced by the live input of the people via an app",3 years ago,
@hitormisshuh," @tizamusic6168  i don't know what it is, but you- have got it... ",3 years ago,
@warrenhowell6361,LMAO,3 years ago,1
@paradigmshatterer7276,"Acknowledgement of earth is what needs to be addressed, fix or amend the wrong that is here. If we can't surmise the problems of earth why take to another plateau. Earth the final frontier.",3 years ago,1
@googlekarki1894, down to mars guy.,3 years ago,1
@bboyt2,Hahaha,3 years ago,
@3dgar7eandro,The best ever said ...,3 years ago,
@squadtv5719,Lol,3 years ago,
@veronicalyn7906,Ahhahaha,2 years ago,
@codetafoya9763,Sadly Elon is a wannabe mars person (he is a libra) ,2 years ago,
@thutomoshosho8195,Clever,2 years ago,
@saracoker5737,  ,2 years ago,
@cadams386, @JesusChrististheonlyway777  ,2 years ago,
@Arabian_Epileptic," @veronicalyn7906  I think his sign in astrology is Cancer because his birthday is listed as June 28th. People born on the 28th of the month have the potential to achieve ENORMOUS wealth (eg. Musk, Gates, Carlos Slim, etc)",2 years ago,
@madhuramchaturvedi3605,,2 years ago,
@edvinparmeza1298,,2 years ago,1
@terrypryor2283,"Imagine how much more humble he would be, if he was a down to Earth guy",2 years ago,
@ashukhan7386,Omggg you did not just say that,2 years ago,
@baclava69,Beautiful voice (Elon),2 years ago,2
@christinamuggle,He genuinely seems so arrogant and fake to be honest.I don't understand why people trust him in any way.,2 years ago,
@dakshsingh6033,:),2 years ago,
@SoulPunch13,good one,2 years ago,
@mateonikolic6984,Thanks,2 years ago,
@swisstrader, @genevievemartinez8475  He's smart but not anywhere near Einstein,2 years ago,
@jonski223,20th time I’m hearing the down to Mars joke.,2 years ago,
@swisscheese8628,I see what you did there ,2 years ago,
@lisa812059," @gokulkbaburaj2414  Elon team pasting it, gaining control..",2 years ago,
@ChaosBW,"Elon Musk is so bungle, he's a down to Mars guy ",2 years ago,
@selvin8083,He's a con man,2 years ago,
@waking_nicole," @genevievemartinez8475 . , . ,  . , . ,. ,, nozzle",2 years ago,
@Rajashree115,,2 years ago,
@privateequityguy,What a sense of humour ️,2 years ago,
@patrickcatalano4795,LOL dude... Well said :D,2 years ago,
@ashercheng1556,Is this a nod to outkast?,2 years ago,
@karinacs6833,,2 years ago,
@MyBuzzL,Sopñia,2 years ago,1
@omarbenkou1712," @mateonikolic6984  he is one of the best salesperson that ever lived. till this day many person believe he is the founder of tesla motor, which he didn't. and some even believe he is the founder of paypal, he didn't even start or even coding early paypal. and the loop that elon talk in TED talk, already finish, and it's not as good as its promised. it just an underground tunnel taxy, that so many PRT(personal rapid trasportation) is so much better and cheaper than what elon musk made. and people still glorify loop. I dont think (till this day) no one sells like elon musk",2 years ago,
@omarbenkou1712, @omswaroopudumula4284  k,2 years ago,
@MetalGearTenno, @omswaroopudumula4284  jjun,2 years ago,
@veteldspeed9345, @omswaroopudumula4284  Got that one wrong!!!,2 years ago,
@billgates3140,Hello,2 years ago,1
@jackfrosty4674,,2 years ago,
@marianserra8371,He is messed up now in 2022. Weird.,2 years ago,
@richardvervoorn6626,"Haha, very clever and yes, he sure is! Love this man.",2 years ago,
@itzyfan88,I love what you said there !,2 years ago,
@OriginalPuro,Lol'd,2 years ago,
@torahstruthsobiblicalbayan419," @omswaroopudumula4284  Do people care about internet points, still? Oo",2 years ago,
@nicknunyapix4330,a  new earth and heaven.,2 years ago,
@stanleygodlewski5489, @genevievemartinez8475  w at,2 years ago,
@inderkamboz455,Lol,2 years ago,
@WarriorHitomi,,1 year ago,
@under_rated4204, @marikabakocs2832  yeah he did.,11 months ago,
@alexandervega699,,9 months ago (edited),
@yudaoptiffiny4206, @veronicalyn7906  no he’s not.   He was born on June 28,1 month ago,
@verygrayshark2155,,5 years ago,870
@saturn1returns,"the end of this interview, when he's talking about the Egyptians & romans. how we've forgotten to do things. he sits up in his seat & you can tell how passionate he is about the collective. he wants the highest evolution for society. he cares. what a genius. how lucky we are to have him in our time period.",5 years ago,11
@psnedits2139,I prefer the term Musketeer.,5 years ago,9
@nyetre7665,Sad thing is no one wants to innovate something by themselves. We just wanna buy the stuff or use the stuff someone else makes through innovation. Imagine how far we would go if people start to think on their own,5 years ago,8
@verygrayshark2155,"pasan jayawardhana actually some people are thinking on their own but are getting bullied, rejected or declined rn bec of their ideas.",5 years ago,1
@Vizihon,"or they don't have the resources to do it. but yeah, I agree. a bunch of people get squandered, or their ideas are bought out and twisted into something else. it's hard to get to Elons position. but I'm thankful he's doing it, and encouraging young people.",5 years ago,3
@serdlc64,"Egyptians and Romans didn't forget to build. They simply reached a high level in wealth and became decadent, deviant  and lived only for joy - and new people arrived (were also brought in as slaves) and took  over power simply by overpopulating reigning nation.....replaced the human mass but not the culture.",5 years ago,3
@verygrayshark2155,You gotta be kidding. Hes a deceptive liar,5 years ago,2
@chrism7275, @serdlc64  how so?,5 years ago,
@cameronblakeley5240,Agreed,5 years ago,3
@expresz1016,don't you just love slanderous completely unsubstantiated claims,5 years ago,1
@kevinmalone8564, @serdlc64  No you are very wrong the man is a genius,5 years ago,
@Skeptic_Tank,"Goodness me, read his biography. He's nothing what you just said. You'll be surprised actually like I was...",5 years ago,3
@stevenpaul4394,Logical world: people like him are in chargeOur current world: people like trump are in charge,2 years ago,21
@kelvintimothy1544,"I came to YouTube to learn how to trade after listening to a guy on radio talk about the importance of investing and how he made $460,000 in 4 months from $160k. Somehow this video has helped shed light on some things, but I'm confused, I'm a newbie and I'm open to ideas.",2 years ago,
@joykelvin1595,"It is also possible to produce superior performance provided you do something different from the majority. However, most of us tend to pay more attention to the shiniest position in the market than to the cost of proper diversification",2 years ago,
@terryarthur5148,"Interesting. I have a lump sum of cash doing absolutely nothing at all in my bank account, I wanna get something started with it. You seem to be doing excellent for yourself, how did you achieve this?",2 years ago,
@bettykaren2713,"Exactly, the trick is to diversify your investment, don't panic when everyone else do and invest consistently",2 years ago,
@edwardgeorge7422,Am Investing with mrs Stacy Griffin kartner a regulated broke in the U.K. Met her sometime early last year at a start up funding event. she said some interesting things about the state of algorithmic trading today.,2 years ago,
@aarontyler3029,That's impressive. Are you giving her your money or it stays in your trading account? What's really the idea behind copying trades.,2 years ago,
@johnwilliams3018,"I'm a fan of crypto, I Hod some few coins in my wallet",2 years ago,
@douglaszachary3863,Copy trading enables you to automatically copy positions opened and managed by other traders.,2 years ago,
@mariewoods4193,"My money stays right in my trading account, my account just mirrors his trade in real-time. That's the idea behind copying trades.",2 years ago,
@michaeldonald2150,"Please , how do I get in touch with Mrs Stacy Griffin kartner? i would love to trade with her",2 years ago,
@robertmichael1764,Can I get her service outside the UK? Or his broker is registered in the Uk only?,2 years ago,
@danielmattew2611,"I'm sure his service is available outside the UK, but you gotta ask her first. I'm positive because I have a friend in Canada using his services too. You should ask her though.",2 years ago,
@adamnathan6744,"of course, I've been attending her online sessions on Zoom for months now",2 years ago,
@adamnathan6744,Her username on FB,2 years ago,
@adamnathan6744,Stacy Griffin kartner,2 years ago,
@adamnathan6744,Stacy Griffin kartner,2 years ago,
@joshuakenneth9332,Stacy Griffin kartner,2 years ago,
@deborahsharon2083,"Mrs Stacy Griffin kartner is a well known trader. A friend I refered received more than a 100,000k euros return on his investments after a month. I'm jealous",2 years ago,
@ashleykimberly4285,Bitcoin investment (fx) can be profitable and lucrative when it is approached as a business.,2 years ago,
@johnmark8996,I wanted to trade crypto but I got confused by the fluctuations in price,2 years ago,
@elijahbobby3078,"Came across her recommendation on Facebook but ignored, Never knew she was a real person with professional trading skills.",2 years ago,
@elijahbobby3078,+44,2 years ago,
@elijahbobby3078,74,2 years ago,
@elijahbobby3078,18,2 years ago,
@elijahbobby3078,36,2 years ago,
@elijahbobby3078,91,2 years ago,
@patience431,80,2 years ago,
@faithcarol9166,"The crypto market have always and will always be a volatile market, that is why it is important to have proper research, analysis and strategy when investing",2 years ago,
@andrewedward1127,My first trading experience with her gave me the assurance that has made me to invest without fear of loosing and I got four of my friends involved with her already️️.........,2 years ago,
@andrewedward1127,You can also chat her on I G,2 years ago,
@andrewedward1127,Stacy Griffin kartner,2 years ago,
@dorothymelissa4897,Stacy Griffin kartner,2 years ago,
@navneetsingh9187,"My trading journey was a matriculation of highs and lows, literally just like the market. you up, you down. Now I'm constantly up.",1 year ago,7
@arneparmentier2806,35:05 to 35:26  that's the real message.,7 years ago,877
@armaha,"""I'm not trying to be anyone's saviour. I'm just trying to think about the future and not be sad.""Wow.",6 years ago,32
@poniesandlife,Amazing statement!,6 years ago,2
@dorothykelly8924,I started reading this at the exact moment he said that kinda freaked me out for a second lol,3 years ago,
@kevintoner6068,Yes wow oh wow.,7 years ago,10K
@anujsatavase7738,"""A few years ago everyone was laughing at you""""Ok"" Sips water",7 years ago,33
@emilostafiiciuc300,Kevin Toner time?,7 years ago,83
@AXLplosion,Anuj Satavase 12:27,7 years ago,203
@valadisprimetv3789,Emil Ostafiiciuc 12:19,7 years ago,451
@shankhan547,"that ok was like ""who is laughing now bitches?""",7 years ago,119
@AXLplosion,I think it should be a protocol to always mention the time!!!,7 years ago,34
@leegenny8712,Shan Bautista Khan especially with long videos.,7 years ago,58
@akawicked,that is so bill gates.,6 years ago,36
@ngon1111,Jared - Hater on the smarter,6 years ago,20
@e1123581321345589144,Yea but it's also a cultural thing. American just LOVE driving their cars. I even have friends who drive to a store less than 0.8 miles from home. and they're not even overweight!,6 years ago,31
@agatasoda,"+ngon1111 That's not an American thing, the same is true where I live in Romania. It's like some people completely forgot how to walk.",6 years ago,13
@michaeltreu4152,You're right you don't him to solve it but someone has to push it forward. It's his belief you need to solve it not his intellect.,6 years ago,4
@BrigadirBest,edit edit edit edit,6 years ago,46
@naikkelas1241,elon musk is president of Mars and earth,6 years ago,8
@pandoranbias1622,God i love reading you comment!,6 years ago,31
@PicturesqueGames,and thats why he's the real life Tony Stark.,6 years ago,7
@nzarch9741,"Better. He's real life Robert House, only without aspirations to also be an autocratic ruler (yet).",6 years ago,3
@Occu10,Agreed it's definitely a worldwide thing.,6 years ago,10
@cincybaseballclub,"it was an incredibly risky loan, it wasnt ""free"" money",6 years ago,55
@vmwindustries,Jared he also paid that back plus interest. So in reality Elon musk paid us tax payers 20m. But you're right he's an awful human. Btw how many big name companies would have done what he did? Wake up and stop being a hater of everything. This guy is literally one of the only people that is thinking about our future and actually doing something about it.,6 years ago,12
@vmwindustries,"Kevin Toner When do you think he will make his Ironman suit? LOL What an amazing human!  I have my own companies, but I'd work for this guy, in a heartbeat, if he asked me to.  He works on saving humanity, and gets paid for it! I wish I had the money to play with, that this man has. Every electric car on the road, gives us an extra couple minutes of clean air, for our children to breathe. Think about how much tonnage of carbon monoxide a car produces in its life time.",6 years ago,13
@fondren001,"Jared It helps to have Elon Musk taking the initiative. If he was rich already, the government wouldn't invests in his ideas. Why the hate? Do you think he's doing a bad job at being a human with no ties or government employment obligation? He doesn't have to be environmental friendly. Sure he has rockets, but he's making it cheaper, and reusing them. We end to go to space. I like my cellphone, and connectivity. Thanks to the space program!",6 years ago,4
@kaitlynkronberg255,inb4 earthquake ruins everything,6 years ago,
@bolafson,Kevin Toner   'Y,6 years ago,10
@siwel97,"Jared, what have you done for anyone lately?",6 years ago,
